row_number,inning,half,pitcher,batter,ball_count,strike_count,pitch,result,outs,runner_1B,runner_2B,runner_3B,score,away_score,home_score,pitcher_pitch_count,gameid,game_date,pitcher_throw,batter_hit,batter_height,batter_position,Pitch Type,Release Speed (mph),Launch Angle (°),Batter Name,Hit Time,Direction (°),Bearing (°),Distance (ft),Exit Velocity (mph),Location Side (ft),Location Height (ft),Hit Type,Hit Type,Hit Time
191,5,Bottom,A.J. Alexy,Frankie Tostado,2,0,,fly out to left field,0,FALSE,TRUE,FALSE,0-0,0,0,11,624477,,R,L,2-Jun,1B,Four-Seam,92,22,Frankie Tostado,,,,286,86,,,,,4/29/2025
192,5,Bottom,A.J. Alexy,Alerick Soularie,0,0,Called Strike,,1,FALSE,TRUE,FALSE,0-0,0,0,12,624477,,R,R,Jun-00,OF,Slider,78,,Alerick Soularie,,,,,,,,,,4/29/2025
193,5,Bottom,A.J. Alexy,Alerick Soularie,0,1,,single,1,FALSE,TRUE,FALSE,0-0,0,0,13,624477,,R,R,Jun-00,OF,Slider,79,20,Alerick Soularie,,,,322,107,,,,,4/29/2025
194,5,Bottom,A.J. Alexy,Osvaldo Tovalin,0,0,Foul,,1,TRUE,FALSE,FALSE,0-0,0,0,14,624477,,R,L,2-Jun,IF,,89,,Osvaldo Tovalin,,,,,,,,,,4/29/2025
195,5,Bottom,A.J. Alexy,Osvaldo Tovalin,0,1,Foul,,1,TRUE,FALSE,FALSE,0-0,0,0,15,624477,,R,L,2-Jun,IF,,82,,Osvaldo Tovalin,,,,,,,,,,4/29/2025
196,5,Bottom,A.J. Alexy,Osvaldo Tovalin,0,2,Ball,,1,TRUE,FALSE,FALSE,0-0,0,0,16,624477,,R,L,2-Jun,IF,Curveball,76,,Osvaldo Tovalin,,,,,,,,,,4/29/2025
197,5,Bottom,A.J. Alexy,Osvaldo Tovalin,1,2,Ball,,1,TRUE,FALSE,FALSE,0-0,0,0,17,624477,,R,L,2-Jun,IF,Four-Seam,89,,Osvaldo Tovalin,,,,,,,,,,4/29/2025
198,5,Bottom,A.J. Alexy,Osvaldo Tovalin,2,2,Foul,,1,TRUE,FALSE,FALSE,0-0,0,0,18,624477,,R,L,2-Jun,IF,,78,,Osvaldo Tovalin,,,,,,,,,,4/29/2025
199,5,Bottom,A.J. Alexy,Osvaldo Tovalin,2,2,Ball,,1,TRUE,FALSE,FALSE,0-0,0,0,19,624477,,R,L,2-Jun,IF,,82,,Osvaldo Tovalin,,,,,,,,,,4/29/2025
200,5,Bottom,A.J. Alexy,Osvaldo Tovalin,3,2,Foul,,1,TRUE,FALSE,FALSE,0-0,0,0,20,624477,,R,L,2-Jun,IF,Four-Seam,90,,Osvaldo Tovalin,,,,,,,,,,4/29/2025
201,5,Bottom,A.J. Alexy,Osvaldo Tovalin,3,2,,fly out,1,FALSE,TRUE,FALSE,0-0,0,0,21,624477,,R,L,2-Jun,IF,Slider,76,5.67,Osvaldo Tovalin,,,,115,98,,,,,4/29/2025
202,5,Bottom,A.J. Alexy,Justin Connell,0,0,Called Strike,,2,FALSE,TRUE,FALSE,0-0,0,0,22,624477,,R,R,2-Jun,OF,Slider,78,,Justin Connell,,,,,,,,,,4/29/2025
203,5,Bottom,A.J. Alexy,Justin Connell,0,1,Ball,,2,FALSE,TRUE,FALSE,0-0,0,0,23,624477,,R,R,2-Jun,OF,Slider,78,,Justin Connell,,,,,,,,,,4/29/2025
204,5,Bottom,A.J. Alexy,Justin Connell,1,1,Ball,,2,FALSE,TRUE,FALSE,0-0,0,0,24,624477,,R,R,2-Jun,OF,Four-Seam,88,,Justin Connell,,,,,,,,,,4/29/2025
205,5,Bottom,A.J. Alexy,Justin Connell,2,1,Called Strike,,2,FALSE,TRUE,FALSE,0-0,0,0,25,624477,,R,R,2-Jun,OF,Slider,78,,Justin Connell,,,,,,,,,,4/29/2025
206,5,Bottom,A.J. Alexy,Justin Connell,2,2,Ball,,2,FALSE,TRUE,FALSE,0-0,0,0,26,624477,,R,R,2-Jun,OF,Slider,79,,Justin Connell,,,,,,,,,,4/29/2025
207,5,Bottom,A.J. Alexy,Justin Connell,3,2,,Walk,2,FALSE,TRUE,FALSE,0-0,0,0,27,624477,,R,R,2-Jun,OF,Slider,79,,Justin Connell,,,,,,,,,,4/29/2025
208,5,Bottom,A.J. Alexy,Jairus Richards,0,0,Ball,,2,TRUE,TRUE,FALSE,0-0,0,0,28,624477,,R,L,Jun-00,OF,Four-Seam,89,,Jairus Richards,,,,,,,,,,4/29/2025
