#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore,AwayGameNo,HomeGameNo,away_prob,home_prob
44.0,Jul 2312:30 PM,Lexington,Gastonia,15-7,"Wicklander, P","Wells, N",final|,43,44,0.0,0.0
44.0,Aug  27:03 PM,High Point,Lexington,6-8,"Beggs, D","Devine, M",final|,47,44,1.0,0.0
44.0,Aug  66:46 PM,Hagerstown,Lancaster,1-5,"Bremer, N","Weisenburger, J",final|,45,43,0.0,0.0
44.0,Aug  96:40 PM,S Maryland,High Point,2-4,"Devine, M","Overton, C",final|,46,44,,1.0
44.0,Aug 136:35 PM,Lancaster,S Maryland,3-1,"Sullivan, B","Scrubb, A",final|,43,44,0.0,
44.0,Aug  66:34 PM,Lexington,Staten Island,5-2,"Wicklander, P","Mack, A",final|,44,44,0.0,0.0
44.0,Aug  26:34 PM,Hagerstown,Long Island,3-5,"Sandberg, R","Martinez, Q",final|,46,44,0.0,0.636
44.0,Jul 306:39 PM,S Maryland,Charleston,7-5,"Martin, G","de Avila, L",final|,47,44,,0.0
44.0,Aug  96:02 PM,Long Island,Hagerstown,5-7,"Noriega, B","Dipoto, J",final|,44,43,0.636,0.0
44.0,Jul 306:34 PM,Lancaster,York,3-8,"Pace, F","McAvene, M",final|,44,43,0.0,0.364
45.0,Aug  76:32 PM,Lexington,Staten Island,3-7,"Reitz, M","Eastman, C",final|,45,45,0.0,0.0
45.0,Aug 149:00 PM,Lancaster,S Maryland,9-8,"Diehl, P","McCabe, B",final|,45,45,0.0,
45.0,Jul 316:39 PM,S Maryland,Charleston,3-10,"Diaz, A","Miller, J",final|,48,45,,0.0
45.0,Aug  35:02 PM,Hagerstown,Long Island,4-5,"Case, B","Henriquez, J",final|,47,45,0.0,0.636
45.0,Aug 104:06 PM,S Maryland,High Point,2-1,"Miller, J","Wereski, B",final|,49,45,,1.0
45.0,Jul 246:33 PM,Lexington,Gastonia,5-9,"Stem, C","Acosta, J",final|,46,45,0.0,0.0
45.0,Aug  32:02 PM,High Point,Lexington,8-3,"Rouse, S","Ferrer, B",final|,48,45,1.0,0.0
