#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore
38,Jul 197:00 PM,S Maryland,Lexington,,,,Lexington
41,Jul 197:00 PM,Staten Island,Gastonia,,,,Gastonia
42,Jul 202:00 PM,Staten Island,Gastonia,,,,Gastonia
39,Jul 202:00 PM,S Maryland,Lexington,,,,Lexington
36,Jul 202:00 PM,High Point,Lancaster,,,,Penn Medicine
39,Jul 205:00 PM,York,Hagerstown,,,,Hagerstown
39,Jul 205:05 PM,Charleston,Long Island,,,,Long Island
37,Jul 226:30 PM,York,Staten Island,,,,Staten Island
43,Jul 226:30 PM,Lexington,Gastonia,,,,Gastonia
34,Jul 226:35 PM,Charleston,High Point,,,,High Point
34,Jul 226:35 PM,Long Island,S Maryland,,,,Regency Furn.
37,Jul 226:45 PM,Hagerstown,Lancaster,,,,Penn Medicine
38,Jul 2310:30 AM,York,Staten Island,,,,Staten Island
44,Jul 2312:30 PM,Lexington,Gastonia,,,,Gastonia
35,Jul 236:35 PM,Charleston,High Point,,,,High Point
35,Jul 236:35 PM,Long Island,S Maryland,,,,Regency Furn.
38,Jul 236:45 PM,Hagerstown,Lancaster,,,,Penn Medicine
36,Jul 2411:05 AM,Long Island,S Maryland,,,,Regency Furn.
39,Jul 246:30 PM,York,Staten Island,,,,Staten Island
45,Jul 246:30 PM,Lexington,Gastonia,,,,Gastonia
36,Jul 246:35 PM,Charleston,High Point,,,,High Point
39,Jul 246:45 PM,Hagerstown,Lancaster,,,,Penn Medicine
40,Jul 256:30 PM,Long Island,York,,,,York
40,Jul 256:35 PM,Lexington,Charleston,,,,Charleston
37,Jul 256:35 PM,Gastonia,High Point,,,,High Point
37,Jul 256:35 PM,Hagerstown,S Maryland,,,,Regency Furn.
40,Jul 257:00 PM,Lancaster,Staten Island,,,,Staten Island
41,Jul 266:30 PM,Lancaster,Staten Island,,,,Staten Island
41,Jul 266:30 PM,Long Island,York,,,,York
38,Jul 266:35 PM,Hagerstown,S Maryland,,,,Regency Furn.
41,Jul 266:35 PM,Lexington,Charleston,,,,Charleston
38,Jul 266:35 PM,Gastonia,High Point,,,,High Point
42,Jul 271:00 PM,Long Island,York,,,,York
42,Jul 271:30 PM,Lancaster,Staten Island,,,,Staten Island
39,Jul 272:05 PM,Hagerstown,S Maryland,,,,Regency Furn.
42,Jul 273:04 PM,Lexington,Charleston,,,,Charleston
