Status,Season,season_id,Team,team_id,Player,player_id,AVG,R,H,2B,3B,HR,RBI,BB,SO,SB,R_from_100,RBI_from_80,stats_url,AB,CS,DP,E,G,HBP,P,SF,SH
close,ALPB- 2023,34162,York Revolution,3614,"Martin, D",1751055,.282,90,120,23,2,19,82,56,119,46,-10.0,2.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34162,425,2,10,3,117,2,CF,8,2
close,ALPB- 2023,34162,Spire City Ghost Hounds,165441,"Dedelow, C",1751123,.281,88,114,25,4,26,78,61,132,34,-12.0,-2.0,https://baseball.pointstreak.com/team_stats.html?teamid=165441&seasonid=34162,406,5,4,4,115,7,LF,7,0
close,ALPB- 2023,34162,York Revolution,3614,"Giambrone, T",1751057,.287,88,129,32,0,22,72,55,90,9,-12.0,-8.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34162,450,3,6,15,106,7,2B,6,0
close,ALPB- 2022,34154,Lancaster Barnstormers,3613,"Cordero, A",1750753,.339,87,184,35,5,18,118,28,65,8,-13.0,38.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34154,542,6,21,9,131,6,IF,7,0
close,ALPB- 2022,34154,High Point Rockers,163529,"Wiel, A",1750887,.260,83,100,19,3,32,98,45,111,11,-17.0,18.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34154,384,2,8,8,115,7,1B,6,0
close,ALPB- 2022,34154,Gastonia Honey Hunters,163528,"Rosa, J",1750930,.308,88,141,35,7,21,92,76,118,16,-12.0,12.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34154,458,11,4,21,122,9,2B,5,0
close,ALPB- 2022,34154,Lancaster Barnstormers,3613,"Mercedes, M",1750306,.294,105,141,20,5,12,72,83,68,15,5.0,-8.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34154,479,4,5,14,122,4,IF,6,3
close,ALPB- 2022,34154,Gastonia Honey Hunters,163528,"Jarrett, Z",1750944,.313,86,130,22,3,21,84,40,86,32,-14.0,4.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34154,416,7,5,4,116,12,LF,8,0
close,ALPB- 2022,34154,High Point Rockers,163529,"Aklinski, B",1750098,.268,93,120,33,3,19,74,73,89,20,-7.0,-6.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34154,448,4,11,4,121,13,OF,4,0
close,ALPB- 2022,34154,High Point Rockers,163529,"Downs, J",1750513,.303,80,122,24,1,22,83,45,86,1,-20.0,3.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34154,403,3,6,4,118,20,1B,4,0
close,ALPB- 2021,34146,Gastonia Honey Hunters,163528,"Sale, J",1750579,.284,94,118,22,2,34,104,79,96,13,-6.0,24.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34146,415,4,7,24,120,2,LF,5,0
close,ALPB- 2021,34146,Long Island Ducks,3609,"Lombardozzi, S",1749711,.329,99,143,24,3,16,83,91,41,20,-1.0,3.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34146,435,4,4,4,119,5,2B,11,1
close,ALPB- 2021,34146,Gastonia Honey Hunters,163528,"Skole, J",1750580,.270,84,99,21,2,23,85,80,122,30,-16.0,5.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34146,366,5,3,7,116,8,CF,8,0
close,ALPB- 2021,34146,Lexington Legends,163530,"Baldoquin, R",1750096,.358,90,143,30,4,14,75,49,55,13,-10.0,-5.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34146,400,4,10,9,109,18,SS,2,0
close,ALPB- 2021,34146,Lexington Legends,163530,"Hawkins, C",1701072,.327,86,106,15,2,32,78,53,68,8,-14.0,-2.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34146,324,1,5,1,90,11,LF,7,0
close,ALPB- 2021,34146,Lancaster Barnstormers,3613,"De Aza, A",1711164,.322,90,128,32,6,11,71,57,63,11,-10.0,-9.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34146,397,5,11,1,108,8,CF,2,1
close,ALPB- 2021,34146,Gastonia Honey Hunters,163528,"Rogers, J",1264796,.286,80,97,11,1,20,73,68,48,7,-20.0,-7.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34146,339,1,11,8,95,6,1B,3,0
close,ALPB- 2019,34130,Lancaster Barnstormers,3613,"Gindl, C",1111228,.291,82,143,32,3,22,91,83,100,2,-18.0,11.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34130,492,1,7,3,137,3,LF,9,1
close,ALPB- 2019,34130,York Revolution,3614,"Tejeda, I",951080,.338,86,169,40,0,23,87,55,73,1,-14.0,7.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34130,500,1,19,6,131,2,C,7,0
close,ALPB- 2019,34130,High Point Rockers,163529,"Cardullo, S",1750033,.266,96,136,36,3,22,70,76,94,20,-4.0,-10.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34130,511,5,10,3,138,17,1B,4,1
close,ALPB- 2025,34102,High Point Rockers,163529,"Aklinski, B",1747963,.274,92,98,22,1,27,74,59,79,29,-8.0,-6.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34102,358,1,4,2,94,7,OF,5,0
close,ALPB- 2025,34102,York Revolution,3614,"Miller, J",1745941,.308,94,124,35,2,16,71,37,58,48,-6.0,-9.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34102,402,6,3,5,95,4,2B,4,1
close,ALPB- 2025,34102,Lancaster Stormers,3613,"Martin, M",1747602,.309,83,108,23,0,29,74,60,84,13,-17.0,-6.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34102,350,5,6,6,90,5,1B,2,0
close,ALPB- 2025,34102,Charleston Dirty Birds,163527,"Nelson, J",1750017,.317,82,126,21,0,28,75,53,90,40,-18.0,-5.0,https://baseball.pointstreak.com/team_stats.html?teamid=163527&seasonid=34102,397,8,9,6,99,7,IF,4,0
close,ALPB- 2025,34102,Gastonia Ghost Peppers,163528,"Wylie, J",1750025,.264,84,86,23,3,18,70,69,75,19,-16.0,-10.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34102,326,1,9,12,90,1,IF,4,1
close,ALPB- 2024,33927,Gastonia Baseball Club,163528,"Gatewood, J",1696437,.295,87,126,34,0,33,121,70,92,13,-13.0,41.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=33927,427,4,5,8,118,4,IF,5,0
close,ALPB- 2024,33927,Charleston Dirty Birds,163527,"Barnum, K",1696568,.301,90,141,24,0,41,115,82,142,0,-10.0,35.0,https://baseball.pointstreak.com/team_stats.html?teamid=163527&seasonid=33927,468,0,17,4,120,0,1B,4,0
