season,season_id,division,team,team_id,team_url
ALPB- 2024,33927,North,Lancaster Stormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=33927
ALPB- 2024,33927,North,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=33927
ALPB- 2024,33927,North,Staten Island Ferry Hawks,163526,https://baseball.pointstreak.com/team_home.html?teamid=163526&seasonid=33927
ALPB- 2024,33927,North,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=33927
ALPB- 2024,33927,South,Charleston Dirty Birds,163527,https://baseball.pointstreak.com/team_home.html?teamid=163527&seasonid=33927
ALPB- 2024,33927,South,Gastonia Baseball Club,163528,https://baseball.pointstreak.com/team_home.html?teamid=163528&seasonid=33927
ALPB- 2024,33927,South,High Point Rockers,163529,https://baseball.pointstreak.com/team_home.html?teamid=163529&seasonid=33927
ALPB- 2024,33927,South,Lexington Legends,163530,https://baseball.pointstreak.com/team_home.html?teamid=163530&seasonid=33927
ALPB- 2024,33927,South,Southern Maryland Blue Crabs,3608,https://baseball.pointstreak.com/team_home.html?teamid=3608&seasonid=33927
Playoffs 2018,31947,Freedom,Lancaster Barnstormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=31947
Playoffs 2018,31947,Freedom,Sugar Land Skeeters,34136,https://baseball.pointstreak.com/team_home.html?teamid=34136&seasonid=31947
Playoffs 2018,31947,Liberty,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=31947
Playoffs 2018,31947,Liberty,Somerset Patriots,3604,https://baseball.pointstreak.com/team_home.html?teamid=3604&seasonid=31947
All Star Game 2018,31718,All-Star,Freedom Division,127990,https://baseball.pointstreak.com/team_home.html?teamid=127990&seasonid=31718
All Star Game 2018,31718,All-Star,Liberty Division,127991,https://baseball.pointstreak.com/team_home.html?teamid=127991&seasonid=31718
2018 Spring Training,31562,Freedom,Lancaster Barnstormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=31562
2018 Spring Training,31562,Freedom,Southern Maryland Blue Crabs,3608,https://baseball.pointstreak.com/team_home.html?teamid=3608&seasonid=31562
2018 Spring Training,31562,Freedom,Sugar Land Skeeters,34136,https://baseball.pointstreak.com/team_home.html?teamid=34136&seasonid=31562
2018 Spring Training,31562,Freedom,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=31562
2018 Spring Training,31562,Liberty,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=31562
2018 Spring Training,31562,Liberty,New Britain Bees,107693,https://baseball.pointstreak.com/team_home.html?teamid=107693&seasonid=31562
2018 Spring Training,31562,Liberty,Road Warriors,133094,https://baseball.pointstreak.com/team_home.html?teamid=133094&seasonid=31562
2018 Spring Training,31562,Liberty,Somerset Patriots,3604,https://baseball.pointstreak.com/team_home.html?teamid=3604&seasonid=31562
2018 Spring Training,31562,Non-ALPB,Long Island Black Sox,135875,https://baseball.pointstreak.com/team_home.html?teamid=135875&seasonid=31562
ALPB- 2018,31284,Freedom,Lancaster Barnstormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=31284
ALPB- 2018,31284,Freedom,Southern Maryland Blue Crabs,3608,https://baseball.pointstreak.com/team_home.html?teamid=3608&seasonid=31284
ALPB- 2018,31284,Freedom,Sugar Land Skeeters,34136,https://baseball.pointstreak.com/team_home.html?teamid=34136&seasonid=31284
ALPB- 2018,31284,Freedom,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=31284
ALPB- 2018,31284,Liberty,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=31284
ALPB- 2018,31284,Liberty,New Britain Bees,107693,https://baseball.pointstreak.com/team_home.html?teamid=107693&seasonid=31284
